"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6432","Add a new job vacancy","chromium","2026-08-16","passed","2026-08-16","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","3316","Verify leave requests appear in My Leave list","chromium","2026-08-16","passed","2026-08-16","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6752","Verify vacancy appears in the list","chromium","2026-08-16","passed","2026-08-16","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","3269","Successful logout → redirects to login page","chromium","2026-08-16","passed","2026-08-16","Authentication Tests","auth/login.spec.ts","",""
"","2105","Invalid password → error message appears","chromium","2026-08-16","passed","2026-08-16","Authentication Tests","auth/login.spec.ts","",""
"","1392","Empty username → validation message","chromium","2026-08-16","passed","2026-08-16","Authentication Tests","auth/login.spec.ts","",""
"","4228","Apply for leave (or verify leave balance status)","chromium","2026-08-16","passed","2026-08-16","Leave Management Tests","leave/leave-management.spec.ts","",""
"","9524","Search for employee by name → verify result","chromium","2026-08-16","passed","2026-08-16","Employee Management Tests","employees/employee-management.spec.ts","",""
"","1123","Empty password → validation message","chromium","2026-08-16","passed","2026-08-16","Authentication Tests","auth/login.spec.ts","",""
"","8128","Edit a vacancy","chromium","2026-08-16","passed","2026-08-16","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","3140","Check leave entitlements are displayed per leave type","chromium","2026-08-16","passed","2026-08-16","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6851","Delete a vacancy","chromium","2026-08-16","passed","2026-08-16","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","3187","Valid credentials → lands on dashboard","chromium","2026-08-16","passed","2026-08-16","Authentication Tests","auth/login.spec.ts","",""
"","7059","Add new employee","chromium","2026-08-16","passed","2026-08-16","Employee Management Tests","employees/employee-management.spec.ts","",""
"","2903","Cancel a pending leave request","chromium","2026-08-16","passed","2026-08-16","Leave Management Tests","leave/leave-management.spec.ts","",""
"","3797","Navigate to PIM module","chromium","2026-08-16","passed","2026-08-16","Employee Management Tests","employees/employee-management.spec.ts","",""
"","7958","Edit employee personal details → save → verify update","chromium","2026-08-16","passed","2026-08-16","Employee Management Tests","employees/employee-management.spec.ts","",""
"","7778","Verify employee count increases after addition","chromium","2026-08-16","passed","2026-08-16","Employee Management Tests","employees/employee-management.spec.ts","",""
