"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7336","Verify vacancy appears in the list","chromium","2026-09-21","passed","2026-09-21","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","6829","Add new employee","chromium","2026-09-21","passed","2026-09-21","Employee Management Tests","employees/employee-management.spec.ts","",""
"","2320","Check leave entitlements are displayed per leave type","chromium","2026-09-21","passed","2026-09-21","Leave Management Tests","leave/leave-management.spec.ts","",""
"","1924","Invalid password → error message appears","chromium","2026-09-21","passed","2026-09-21","Authentication Tests","auth/login.spec.ts","",""
"","6820","Edit employee personal details → save → verify update","chromium","2026-09-21","passed","2026-09-21","Employee Management Tests","employees/employee-management.spec.ts","",""
"","1052","Empty password → validation message","chromium","2026-09-21","passed","2026-09-21","Authentication Tests","auth/login.spec.ts","",""
"","6472","Add a new job vacancy","chromium","2026-09-21","passed","2026-09-21","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","1236","Empty username → validation message","chromium","2026-09-21","passed","2026-09-21","Authentication Tests","auth/login.spec.ts","",""
"","9717","Search for employee by name → verify result","chromium","2026-09-21","passed","2026-09-21","Employee Management Tests","employees/employee-management.spec.ts","",""
"","2495","Verify leave requests appear in My Leave list","chromium","2026-09-21","passed","2026-09-21","Leave Management Tests","leave/leave-management.spec.ts","",""
"","3463","Navigate to PIM module","chromium","2026-09-21","passed","2026-09-21","Employee Management Tests","employees/employee-management.spec.ts","",""
"","3000","Valid credentials → lands on dashboard","chromium","2026-09-21","passed","2026-09-21","Authentication Tests","auth/login.spec.ts","",""
"","8649","Verify employee count increases after addition","chromium","2026-09-21","passed","2026-09-21","Employee Management Tests","employees/employee-management.spec.ts","",""
"","3529","Apply for leave (or verify leave balance status)","chromium","2026-09-21","passed","2026-09-21","Leave Management Tests","leave/leave-management.spec.ts","",""
"","3072","Successful logout → redirects to login page","chromium","2026-09-21","passed","2026-09-21","Authentication Tests","auth/login.spec.ts","",""
"","2719","Cancel a pending leave request","chromium","2026-09-21","passed","2026-09-21","Leave Management Tests","leave/leave-management.spec.ts","",""
"","6361","Delete a vacancy","chromium","2026-09-21","passed","2026-09-21","Recruitment Tests","recruitment/recruitment.spec.ts","",""
"","7739","Edit a vacancy","chromium","2026-09-21","passed","2026-09-21","Recruitment Tests","recruitment/recruitment.spec.ts","",""
